SI. No.,States/UTs,State/UT-Wise Total Number of Road Accidents during - 2013,State/UT-Wise Total Number of Road Accidents during - 2014,State/UT-Wise Total Number of Road Accidents during - 2015,State/UT-Wise Total Number of Road Accidents during - 2016,Share of States/UTs in Total Number of Road Accidents - 2013,Share of States/UTs in Total Number of Road Accidents - 2014,Share of States/UTs in Total Number of Road Accidents - 2015,Share of States/UTs in Total Number of Road Accidents - 2016,Total Number of Accidents Per Lakh Population - 2013,Total Number of Accidents Per Lakh Population - 2014,Total Number of Accidents Per Lakh Population - 2015,Total Number of Accidents Per Lakh Population - 2016,"Total Number of Road Accidents per 10,000 Vehicles - 2013","Total Number of Road Accidents per 10,000 Vehicles - 2014","Total Number of Road Accidents per 10,000 Vehicles - 2015","Total Number of Road Accidents per 10,000 Km of Roads - 2013","Total Number of Road Accidents per 10,000 Km of Roads - 2014","Total Number of Road Accidents per 10,000 Km of Roads - 2015"
1,Andhra Pradesh,43482,24440,24258,24888,8.9,5,4.8,5.2,50.4,28.1,27.7,28.2,34.3,34.9,30.8,1661.8,1372.3,1355
2,Arunachal Pradesh,308,205,284,249,0.1,0,0.1,0.1,24.3,16,21.9,19,20.4,13.6,18.8,109.6,83.8,112
3,Assam,7211,7144,6959,7435,1.5,1.5,1.4,1.5,23,22.5,21.7,22.9,38.4,32.2,27.7,250.3,227.8,213.1
4,Bihar,10200,9556,9555,8222,2.1,2,1.9,1.7,10.2,9.4,9.3,7.9,28.2,23,20,517.1,455.6,463.8
5,Chhattisgarh,13657,13821,14446,13580,2.8,2.8,2.9,2.8,54.8,54.8,56.5,52.5,39.7,35.7,33.5,1530.4,1461.3,1481.1
6,Goa,4294,4229,4338,4304,0.9,0.9,0.9,0.9,229.9,220.8,222.1,217.7,45.8,41.9,40,3702.2,3187.6,2966.4
7,Gujarat,25391,23712,23183,21859,5.2,4.8,4.6,4.5,41.9,38.7,37.3,34.8,16.1,13.9,12.4,1532.9,1324.2,1271.8
8,Haryana,10482,10676,11174,11234,2.2,2.2,2.2,2.3,39.9,40,41.3,40.9,15.9,14.7,14.1,2467.7,2501.1,2414.1
9,Himachal Pradesh,2981,3058,3010,3168,0.6,0.6,0.6,0.7,43.1,43.8,42.8,44.7,34,31.4,27.9,560.1,562.3,541.4
10,Jammu & Kashmir,6457,5861,5836,5501,1.3,1.2,1.2,1.1,53.8,48.2,47.5,44.3,63.3,51.7,46.9,1447.9,1498.7,1492.7
11,Jharkhand,5569,5201,5162,4932,1.1,1.1,1,1,17.2,15.9,15.5,14.7,16.6,30.3,25,1502.5,1260.6,1208.8
12,Karnataka,44020,43713,44011,44403,9,8.9,8.8,9.2,72.6,71.4,71.2,71.2,36.5,32.8,29.8,1441.2,1395.8,1367.6
13,Kerala,35215,36282,39014,39420,7.2,7.4,7.8,8.2,100.5,102.9,110,110.5,44.8,41.3,40.4,1903.2,1875.4,2002.2
14,Madhya Pradesh,51810,53472,54947,53972,10.7,10.9,11,11.2,69.6,70.7,71.6,69.3,59.1,55,49.3,2264.3,1909.7,1901.7
15,Maharashtra,63019,61627,63805,39878,13,12.6,12.7,8.3,54.5,52.6,53.8,33.2,29.3,26.3,25,1068.8,1012.5,1049.2
16,Manipur,671,743,671,538,0.1,0.2,0.1,0.1,26.8,29.3,26.2,20.8,22.7,18.8,21.8,322,343,276.7
17,Meghalaya,525,542,606,620,0.1,0.1,0.1,0.1,19.6,20,22.1,22.4,23.9,21.8,22.7,426.2,408.7,453.2
18,Mizoram,114,132,70,83,0,0,0,0,11.1,12.7,6.7,7.8,9.4,9.6,4.6,104.2,134.7,71.2
19,Nagaland,71,305,54,75,0,0.1,0,0,3.1,13.1,2.3,3.2,2.3,9.6,1.6,18.5,83.3,14.5
20,Odisha,9680,9648,10542,10532,2,2,2.1,2.2,23.4,23.1,25,24.8,23,20.5,20.2,348.6,340.7,371.6
21,Punjab,6323,6391,6702,6952,1.3,1.3,1.3,1.4,22.4,22.4,23.2,23.9,9,10.2,10.7,642.3,613.6,636.1
22,Rajasthan,23592,24628,24072,23066,4.8,5,4.8,4.8,33.7,34.7,33.4,31.6,23.4,22.1,19.4,1043.3,1020.9,970
23,Sikkim,244,203,219,210,0.1,0,0,0,39,32.1,34.2,32.5,67.3,51.3,50.7,371.4,311.1,294
24,Tamil Nadu,66238,67250,69059,71431,13.6,13.7,13.8,14.9,97,98,100,102.9,34.4,32.2,30.7,2783.1,2645.5,2644.9
25,Telangana,NA,20078,21252,22811,0,4.1,4.2,4.7,NA,NA,NA,NA,NA,28.4,27.1,NA,2177.3,2119.9
26,Tripura,818,716,647,557,0.2,0.1,0.1,0.1,22.1,19.1,17.1,14.6,33.4,28,22.9,263.7,171.1,173.1
27,Uttarakhand,1297,1410,1523,1591,0.3,0.3,0.3,0.3,12.7,13.6,14.5,15,8.9,8.6,8.3,220.9,233.3,242
28,Uttar Pradesh,30615,31034,32385,35612,6.3,6.3,6.5,7.4,14.7,14.7,15.1,16.3,18,16.2,15,702.2,781.3,779.6
29,West Bengal,12414,12875,13208,13580,2.6,2.6,2.6,2.8,13.6,14,14.2,14.5,27.6,19.1,17.8,400.8,410.4,446.2
30,Andaman & Nicobar Islands,200,218,258,238,0,0,0.1,0,38.5,40.9,47.5,43.2,23.4,23.3,25.2,1440.9,1654,1908.3
31,Chandigarh,410,369,416,428,0.1,0.1,0.1,0.1,25.9,22.4,24.2,24,3.7,5.9,6.1,2057.2,1281.6,1417.4
32,Dadra & Nagar Haveli,91,87,69,70,0,0,0,0,23.5,21.6,16.7,16.6,9.7,8.5,6.2,1123.5,1034.5,797.7
33,Daman & Diu,59,39,70,71,0,0,0,0,20.1,12.8,22.1,21.5,6.4,4.1,7,3105.3,769.2,1341
34,Delhi,7566,8623,8085,7375,1.6,1.8,1.6,1.5,38.7,42.9,39.1,34.6,9.7,10.4,9.1,2364.7,2695,2521.3
35,Lakshadweep,1,1,3,1,0,0,0,0,1.3,1.3,3.8,1.2,0.9,0.8,2.1,48.3,48.1,140.2
36,Puducherry,1451,1111,1530,1766,0.3,0.2,0.3,0.4,95.9,70.6,94.1,105.8,20.7,14.8,19.1,5020.5,3678.9,4980.2
Total,Total,486476,489400,501423,480652,100,100,100,100,40,40.5,38.3,37.9,27,26.3,22.9,1129.8,1113.7,1051.3
